sample_idx,wav_file,participant_id,word,true_label,pred_label,correct,prob_class0,prob_class1,speech_onset_s,duration_s,rollout_peak_time_s,rollout_pre_speech_frac,rollout_post_speech_frac,noise_leakage_delta,occlusion_peak_time_s
1,ReXa_061_02_do.wav,ReXa_061,do,1,1,True,0.039166465401649475,0.9608335494995117,1.3,3.18,1.32,0.37436799951935373,0.6256320004359364,-0.12998742684304784,
2,ReXa_061_03_pet.wav,ReXa_061,pet,1,0,False,0.6646264791488647,0.33537358045578003,0.54,6.48,0.62,0.07658323518368643,0.9234166531203295,-0.022601266693476972,
3,ReXa_061_04_sit.wav,ReXa_061,sit,1,0,False,0.7420907020568848,0.25790935754776,1.06,30.96,1.08,0.09170026319340084,0.9082997367949822,0.017666385719563124,
4,ReXa_061_05_dime.wav,ReXa_061,dime,0,1,False,0.05684101954102516,0.9431589841842651,1.98,3.96,2.14,0.3429585891032356,0.6570414108617413,-0.07014802582978497,
5,ReXa_061_06_boots.wav,ReXa_061,boots,1,1,True,0.2967571020126343,0.7032428979873657,0.8,3.96,0.8,0.24161223530748188,0.7583878785278501,-0.018050558086435214,
6,ReXa_061_07_see.wav,ReXa_061,see,0,1,False,0.4293166697025299,0.5706833600997925,1.22,3.96,1.22,0.34200800591377983,0.6579919598194129,-0.03496929738337273,
7,ReXa_061_08_midnight.wav,ReXa_061,midnight,0,1,False,0.4938899576663971,0.5061100721359253,1.62,3.96,1.72,0.3162399895154052,0.6837600698610311,-0.08695466330662519,
8,ReXa_061_09_pile.wav,ReXa_061,pile,0,1,False,0.3415778577327728,0.6584221720695496,1.32,3.96,1.52,0.2921315907674953,0.7078683752370734,-0.06560293803939182,
9,ReXa_061_10_seven.wav,ReXa_061,seven,1,1,True,0.03249583765864372,0.96750408411026,0.66,3.96,0.82,0.19099552063494396,0.8090044990857141,-0.011882932182278483,
10,ReXa_061_11_speed.wav,ReXa_061,speed,1,1,True,0.024599652737379074,0.9754003882408142,0.72,3.96,0.88,0.20526690003975934,0.7947330814796639,-0.025007367557518395,
11,ReXa_061_12_system.wav,ReXa_061,system,1,1,True,0.09256215393543243,0.9074378609657288,0.84,3.96,0.96,0.1794537760296945,0.820546202494224,-0.02738272484435672,
