sample_idx,wav_file,participant_id,word,true_label,pred_label,correct,prob_class0,prob_class1,speech_onset_s,duration_s,rollout_peak_time_s,rollout_pre_speech_frac,rollout_post_speech_frac,noise_leakage_delta,occlusion_peak_time_s
1,ReXa_105_02_do.wav,ReXa_105,do,1,1,True,0.19781126081943512,0.8021887540817261,0.3,2.4,0.42,0.13000824301935968,0.8699917799344822,0.013038642226446906,
2,ReXa_105_03_pet.wav,ReXa_105,pet,1,0,False,0.8336961269378662,0.16630390286445618,0.56,1.32,0.66,0.3790068376805523,0.6209932525340048,-0.07840477263359436,
3,ReXa_105_04_sit.wav,ReXa_105,sit,0,1,False,0.3604466915130615,0.6395533680915833,0.7,4.92,0.7,0.20041848133870752,0.7995814421560022,-0.05263015817553676,
4,ReXa_105_05_dime.wav,ReXa_105,dime,0,0,True,0.6307137608528137,0.3692862391471863,3.1,3.96,3.04,0.40997354090597266,0.5900264590572877,0.012175017553387069,
5,ReXa_105_06_boots.wav,ReXa_105,boots,0,0,True,0.7124556303024292,0.287544310092926,1.86,3.96,2.32,0.32340731262835243,0.6765926501466594,-0.005790438250149799,
6,ReXa_105_07_see.wav,ReXa_105,see,1,0,False,0.8590927720069885,0.14090724289417267,1.8,3.96,1.82,0.4047272046332006,0.5952727953329402,-0.0630639811345583,
7,ReXa_105_08_midnight.wav,ReXa_105,midnight,0,0,True,0.7369447946548462,0.2630551755428314,1.38,3.96,1.36,0.24861033084297335,0.7513897005439442,0.02926288138519756,
8,ReXa_105_09_pile.wav,ReXa_105,pile,0,1,False,0.2909167408943176,0.7090832591056824,2.32,3.96,2.34,0.2829292929457246,0.7170706106297526,-0.005801703924826873,
9,ReXa_105_10_seven.wav,ReXa_105,seven,0,0,True,0.7050526738166809,0.29494738578796387,2.48,3.96,2.68,0.40555162661086785,0.5944484011634031,-0.07845865738015151,
10,ReXa_105_11_speed.wav,ReXa_105,speed,1,1,True,0.11294420063495636,0.8870557546615601,0.44,3.96,0.44,0.3191030752470196,0.6808969479080332,-0.13992942607775644,
11,ReXa_105_12_system.wav,ReXa_105,system,0,0,True,0.9377027153968811,0.06229732185602188,1.7,3.96,1.82,0.25523610577949046,0.7447638653257491,-0.01786765028785811,
12,ReXa_105_13_at.wav,ReXa_105,at,0,0,True,0.689857542514801,0.310142457485199,0.46,3.96,0.48,0.2192564552163097,0.7807436285219116,-0.07519110743677915,
13,ReXa_105_14_baseball.wav,ReXa_105,baseball,0,0,True,0.9782509803771973,0.0217489842325449,1.48,3.96,1.84,0.3010281930162841,0.6989717119213452,-0.0047386889428170376,
14,ReXa_105_15_sun.wav,ReXa_105,sun,1,1,True,0.10157632827758789,0.8984236717224121,0.58,3.96,0.6,0.26301056769837156,0.7369895056928287,-0.030616522391925666,
15,ReXa_105_16_state.wav,ReXa_105,state,0,0,True,0.6313380599021912,0.36866191029548645,1.16,3.96,1.16,0.34902190079439493,0.6509780204053895,-0.054628346453298005,
16,ReXa_105_17_to.wav,ReXa_105,to,1,1,True,0.03409584239125252,0.9659041166305542,0.26,3.96,0.36,0.14775837444307666,0.8522416733906779,-0.05461085159694218,
17,ReXa_105_18_spoon.wav,ReXa_105,spoon,0,1,False,0.19488289952278137,0.8051170706748962,2.22,3.96,2.22,0.5078196315558897,0.49218048903121714,-0.12146291346073373,
18,ReXa_105_19_cheek.wav,ReXa_105,cheek,1,1,True,0.1936444789171219,0.8063554763793945,0.42,3.96,0.52,0.1445979785391339,0.8554019715177784,-0.008482416047564334,
19,ReXa_105_20_in.wav,ReXa_105,in,0,1,False,0.2069435566663742,0.7930564284324646,1.74,3.96,2.2,0.2994535449945743,0.7005464549741593,-0.05584136261968767,
20,ReXa_105_21_be.wav,ReXa_105,be,0,1,False,0.4794200658798218,0.5205799341201782,0.3,3.96,0.44,0.09878186761974186,0.901218177817448,-0.00812957820405058,
21,ReXa_105_22_sometimes.wav,ReXa_105,sometimes,0,0,True,0.9160862565040588,0.08391375094652176,0.44,3.96,0.44,0.16029841603670208,0.839701531812718,-0.0691842893308245,
